name,categories,lat,lng,state,s_asia
Sitar Indian Cuisine,Indian Restaurant,33.988203496088516,-84.27183043064285,GA,1
Sitar Indian Cuisine,Indian Restaurant,33.98814459609241,-84.27158876278048,GA,1
NaanStop,Indian Restaurant,33.84801836815651,-84.37395673272347,GA,1
Indian Bazzar,Indian Restaurant,33.92775800168918,-84.31129902287337,GA,1
Al-Amin,Indian Restaurant,33.90151971571222,-84.27654796644055,GA,1
Bay Leaf,Indian Restaurant,33.927881992149686,-84.31135134830234,GA,1
Shalimar,Indian Restaurant,33.853112968968446,-84.30714450980764,GA,1
Namaste Atlanta,Indian Restaurant,33.92500506581608,-84.2751681804657,GA,1
Tikka Factory,Indian Restaurant,33.947617,-84.337438,GA,1
The Palace,Indian Restaurant,33.9334688,-84.2240519,GA,1
Curries Indian Bistro,Indian Restaurant,33.92025102307193,-84.35043096542358,GA,1
Raduni Indian Cuisine,Indian Restaurant,33.863069,-84.288591,GA,1
Kababish,Indian Restaurant,33.84445324267244,-84.36161041259766,GA,1
Fusion Of India,Indian Restaurant,33.923995728634964,-84.34116901779747,GA,1
Ruchi Bangladeshi Cuisine,Indian Restaurant,33.8818305873302,-84.31880503892899,GA,1
Indian Fusion,Indian Restaurant,33.922454116911084,-84.3385804934508,GA,1
Novelty's Rajdhani,Indian Restaurant,33.95262915628789,-84.23586252913216,GA,1
Deshi Street Bangladeshi Restaurant,Indian Restaurant,33.87041555094183,-84.29914712905884,GA,1
Himalayas Indian Cuisine,Indian Restaurant,33.89077,-84.30232,GA,1
Heart of India,Indian Restaurant,33.868289,-84.299663,Georgia,1
Calcutta Palate,North Indian Restaurant,33.9067740066045,-84.27328555945786,GA,1
Sri Garuda Vilas,South Indian Restaurant,33.952091260925265,-84.24088895154266,GA,1
Lazeez Tava Fry,Indian Restaurant,33.88483028834503,-84.19282039521767,GA,1
Naan n Curry,Indian Restaurant,33.957946097667154,-84.11176440914576,GA,1
Kabab Hut,Indian Restaurant,33.904970284977495,-84.1542348313618,GA,1
Ashiana,Indian Restaurant,33.91446368831328,-84.2074320546879,GA,1
Udipi Cafe - Duluth,Indian Restaurant,34.01524839975559,-84.16402500588816,GA,1
Currylicious,Indian Restaurant,33.97505595256451,-84.09319606601925,GA,1
Mughals,Pakistani Restaurant,33.9026859,-84.2028894,GA,1
Moksha Kitchen,Indian Restaurant,34.016017522868516,-84.16328854588552,GA,1
Chinese Dhaba,Indian Restaurant,33.95745456212511,-84.11201678772667,GA,1
Sabri Kabob,Indian Restaurant,33.90512295687773,-84.20145227899259,Georgia,1
Poona Indian Restaurant,Indian Restaurant,33.942279681919025,-84.12545509618268,GA,1
BAPS Shayona,Indian Restaurant,33.88547985355456,-84.16471472282126,GA,1
Biryani Pot,Indian Restaurant,34.01543212387883,-84.18515885696254,GA,1
Shahi Bazaar,Indian Restaurant,33.88814185129754,-84.06190661356659,GA,1
Asma's Cuisine,Indian Restaurant,33.956958072799175,-84.11265647258762,GA,1
Indian Grill Restaurant,Indian Restaurant,33.93302768917602,-84.1813678812861,GA,1
Chinese Dhaba,Indian Restaurant,33.91440743661091,-84.20752168954412,GA,1
Spice On Flame,Indian Restaurant,34.00692161142623,-84.17192459106445,GA,1
